Track Name,Track ID,Artists,Artist Count,Track_Name
Misery Business,3l9CW99AHtExIRV4hW2N5m,paramore,1,misery business
Neon Hong Kong,4uRxSAu5i1o0v65aBGMQz6,riff raff,3,neon hong kong
Neon Hong Kong,4uRxSAu5i1o0v65aBGMQz6,ku$h drifter,3,neon hong kong
Neon Hong Kong,4uRxSAu5i1o0v65aBGMQz6,yng bnzo,3,neon hong kong
New Rules,4LihUZcWy0B6lGLqcJ8u9B,dua lipa,1,new rules
Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,bruno mars,1,just the way you are
Nothing Like Your Lips,6HyuWmEDUU44210RVW65dC,yoko gold,1,nothing like your lips
obsessed,6tNgRQ0K2NYZ0Rb9l9DzL8,olivia rodrigo,1,obsessed
Please Please Please,1KE8CYkUEbVbCdEyO1nIfU,sabrina carpenter,1,please please please
ABRACADABRA,2jlrTEi9bJfNgDhAmbYDiE,yellacatt,1,abracadabra
Survivor,5sN8MGWR2pu2Rn3oAOPYXt,destiny's child,1,survivor
You're Beautiful,0vg4WnUWvze6pBOJDTq99k,james blunt,1,youre beautiful
SOS,30cSNer6TV8x2utjULVeQ5,rihanna,1,sos
19,4dcIFhtq7Lr6cukZKHpdzX,sunny daze,2,19
19,4dcIFhtq7Lr6cukZKHpdzX,taylor hill,2,19
Domino,2fQxE0jVrjNMT9oJAXtSJR,jessie j,1,domino
Umbrella,5i66xrvSh1MjjyDd6zcwgj,rihanna,2,umbrella
Umbrella,5i66xrvSh1MjjyDd6zcwgj,jay-z,2,umbrella
Cool for the Summer,2zFF6jG5hQArbzcXz3KUWk,demi lovato,1,cool for the summer
We Made It,2i8jxd3ShcCGazjmZ527Zh,yung xavi,2,we made it
We Made It,2i8jxd3ShcCGazjmZ527Zh,juno!,2,we made it
golden hour,5odlY52u43F5BjByhxg7wg,jvke,1,golden hour
Baby,6epn3r7S14KUqlReYr77hA,justin bieber,2,baby
Baby,6epn3r7S14KUqlReYr77hA,ludacris,2,baby
Strawberry Soda,27RAfEoM7qX8vjNdctZXD4,justina valentine,1,strawberry soda
Everytime We Touch - Radio Edit,5YJtMNWKe55yr49cyJgxva,cascada,1,everytime we touch  radio edit
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,eminem,2,love the way you lie
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,rihanna,2,love the way you lie
San Diego,75A8hKaLCXb8ISPg7DBcOJ,reyn hartley,1,san diego
She Will Be Loved,4llK75pXNWZz6KAho2Gp16,maroon 5,1,she will be loved
Sexy And I Know It,2EZ2KXLqs9zdRVVMMz1IsH,lmfao,1,sexy and i know it
Summersalt Thru The Sunroof - Chopped Not Slopped,4DarFONlUNB9Y9Zz4DV7kZ,riff raff,1,summersalt thru the sunroof  chopped not slopped
Hey Ya!,3AszgPDZd9q0DpDFt4HFBy,outkast,1,hey ya
Till the World Ends,38iU2jg98IZZEIJPrP7aWD,britney spears,1,till the world ends
Pompeii,4Ub8UsjWuewQrPhuepfVpd,bastille,1,pompeii
