Track Name,Track ID,Artists,Artist Count
Fancy,3W3KtDwAIg3mAruSpnfG3Q,"iggy azalea, charli xcx",2
Waking Up In Vegas,0CINJz55gaKzuAsqhZ0hEU,katy perry,1
Tell Me Something I Don't Know,0AbLBnxjPyqmBMW2slYukj,selena gomez & the scene,1
I'm a Slave 4 U,6ldwfK0yWgTAlmIfuQkTYN,britney spears,1
Gypsy,2EP2fYLLC32XI5PaDKhylj,shakira,1
Rock Star - From “Hannah Montana 2”,6KN9atd3DRhmSRWeCSKkkL,hannah montana,1
I'm Out (feat. Nicki Minaj),3c7MNgwEBQTnrOWLjU1DHq,"ciara, nicki minaj",2
Applause,5ka2ajep9OAvU5Sgduhiex,lady gaga,1
Still into You,1yjY7rpaAQvKwpdUliHx0d,paramore,1
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,ariana grande,1
Bad Girls,6nzXkCBOhb2mxctNihOqbb,m.i.a.,1
Habits (Stay High),18AJRdgUoO9EYn11N7xzaT,tove lo,1
Something About the Sunshine,0Jcnr8HUGQdaOiSkqpdEKX,"anna margaret, christopher wilde",2
Automatic,4HWOkaS6pRmNODWmS7EGvs,nicki minaj,1
hurt my feelings,4mFcwFOlSCxp6hjemRXwpd,tate mcrae,1
Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,beyoncé,1
Kiss You,4My8w8AA1JpG6E5SiAPvJL,one direction,1
Talking Body,7cgu4JBW3hq1GwTM1ilkKQ,tove lo,1
Swish Swish,3OtMnyUaiipcAT23A8liyi,"katy perry, nicki minaj",2
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,"maggie lindemann, cheat codes, cade",3
When I Grow Up,21pySLskKIKrhDziCX5ojQ,the pussycat dolls,1
I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,whitney houston,1
Not My Fault (with Megan Thee Stallion),18dlAFKaajLjRgBNZZ4ThU,"reneé rapp, megan thee stallion",2
