Track Name,Track ID,Artists,Artist Count
live while were young,6Vh03bkEfXqekWp7Y1UBRb,one direction,1
too much,0rKWJnmo6Q0ovoPOLoLm0t,the kid laroi,3
too much,0rKWJnmo6Q0ovoPOLoLm0t,jung kook,3
too much,0rKWJnmo6Q0ovoPOLoLm0t,central cee,3
applause,5ka2ajep9OAvU5Sgduhiex,lady gaga,1
the only exception,3ZHfX6kbiY7JVsB63lLOLu,paramore,1
winter in tokyo,4e9pAAFSX0nkW7equTBYHo,ku$h drifter,2
winter in tokyo,4e9pAAFSX0nkW7equTBYHo,yng bnzo,2
barbie world with aqua from barbie the album,741UUVE2kuITl0c6zuqqbO,nicki minaj,3
barbie world with aqua from barbie the album,741UUVE2kuITl0c6zuqqbO,ice spice,3
barbie world with aqua from barbie the album,741UUVE2kuITl0c6zuqqbO,aqua,3
are you that somebody,3Ch0HLsUMMcqSq6kVHi9wm,aaliyah,1
sorry,09CtPGIpYB4BrO8qb1RGsF,justin bieber,1
poker face,1QV6tiMFM6fSOKOGLMHYYg,lady gaga,1
london bridge,1GH5tpvz5g1ZGKNBPBWkTm,fergie,1
worth it feat kid ink,41Fflg7qHiVOD6dEPvsCzO,fifth harmony,2
worth it feat kid ink,41Fflg7qHiVOD6dEPvsCzO,kid ink,2
super shy,5sdQOyqq2IDhvmx2lHOpwd,newjeans,1
waiting for love,2Zr5zgU9qEoOPvJbU0GScq,avicii,1
marry you,6SKwQghsR8AISlxhcwyA9R,bruno mars,1
shape of you,7qiZfU4dY1lWllzX7mPBI3,ed sheeran,1
22,6ce41JVa6KFaryfmC2bu2W,taylor swift,1
rich girl,2Y2q7PkD7lvuWr8YaZfWuv,gwen stefani,2
rich girl,2Y2q7PkD7lvuWr8YaZfWuv,eve,2
on fire,6kxXgUyPMsP43mbXAMVjWY,metr,1
paint the town red,56y1jOTK0XSvJzVv9vHQBK,doja cat,1
dance the night  from barbie the album,1vYXt7VSjH9JIM5oRRo7vA,dua lipa,1
starships,2EBCVPNAG46nbgs6jXPGvv,nicki minaj,1
blurred lines,5PUvinSo4MNqW7vmomGRS7,robin thicke,3
blurred lines,5PUvinSo4MNqW7vmomGRS7,t.i.,3
blurred lines,5PUvinSo4MNqW7vmomGRS7,pharrell williams,3
ghost boy,6Sjl4KtCBxaJza3BTTXJE6,jacob tillberg,1
complicated,5xEM5hIgJ1jjgcEBfpkt2F,avril lavigne,1
apologize,3VVuTYI50T7t0zznR91LNG,onerepublic,1
fuck you,1zneM1cLjM6w8BFmukl2Lr,ceelo green,1
lil boo thang,0cVyQfDyRnMJ0V3rjjdlU3,paul russell,1
this is what you came for,0azC730Exh71aQlOt9Zj3y,calvin harris,2
this is what you came for,0azC730Exh71aQlOt9Zj3y,rihanna,2
bang,552gcmAoC0Khwyzca21xQn,ku$h drifter,1
attention,5cF0dROlMOK5uNZtivgu50,charlie puth,1
club cant handle me feat david guetta,6ebkx7Q5tTxrCxKq4GYj0Y,flo rida,2
club cant handle me feat david guetta,6ebkx7Q5tTxrCxKq4GYj0Y,david guetta,2
so sick,5203pcq3cNteJuOVhIEnt6,ne-yo,1
havana feat young thug,1rfofaqEpACxVEHIZBJe6W,camila cabello,2
havana feat young thug,1rfofaqEpACxVEHIZBJe6W,young thug,2
a thousand miles,4pextOBn0xoPnKf7qrDjWg,vanessa carlton,1
run the world girls,1uXbwHHfgsXcUKfSZw5ZJ0,beyoncé,1
